epoch,train_gen_loss,train_disc_loss,train_gen_acc,val_gen_loss,val_disc_loss,val_gen_acc
1,5.2865114,0.63269347,0.20333333,1.7586277,1.2789276,0.33833334
2,3.6942222,0.22952166,0.038333334,1.035442,1.2963808,0.23738006
3,2.0607188,0.1870988,0.0325,1.1372088,1.462014,0.07008761
4,2.1357841,0.22168648,0.030416667,0.5581234,0.6711545,0.052982897
5,1.9291756,0.33072558,0.06666667,0.5120127,0.52470976,0.046725072
6,1.7690812,0.27722389,0.045,1.5451099,0.055417858,0.006666667
7,1.6318988,0.17153674,0.026666667,0.4480434,0.032130443,0.0033375053
8,2.1276221,0.12089044,0.0175,0.32776067,0.14129582,0.016687525
