epoch,train_gen_loss,train_disc_loss,train_gen_acc,val_gen_loss,val_disc_loss,val_gen_acc
1,0.97847044,1.2245075,0.506144,0.77089065,1.4740872,0.5128995
2,0.8548176,1.3225757,0.62119085,0.6017999,1.5442941,0.7106164
3,0.84950113,1.3060431,0.62486684,0.68147254,2.0091734,0.33523592
4,0.8417632,1.3073117,0.62877667,0.589244,1.8497844,0.45905632
5,0.82876956,1.3234701,0.6474294,0.838637,1.8086237,0.54642314
6,0.81328547,1.3360729,0.7035305,1.1214966,2.3776858,0.5041857
7,0.8011807,1.3452322,0.7299899,0.5955714,1.5356889,0.66289955
8,0.803126,1.3410803,0.70486844,0.6207161,1.7210093,0.71107304
9,0.7947133,1.3441045,0.7181306,0.5844905,1.27427,0.8116058
10,0.7978223,1.3393165,0.69862056,0.5929067,1.5265944,0.81267124
11,0.77723664,1.3469577,0.74934405,0.5957911,1.4916396,0.8071537
12,0.76708764,1.3494878,0.7589302,0.75031376,1.5370108,0.798516
13,0.75690085,1.3471434,0.7790637,0.53565156,1.3213613,0.86757994
14,0.7515496,1.3462988,0.74895436,0.57475865,1.3036976,0.6812405
15,0.74575895,1.354669,0.7573845,0.5061091,1.3742623,0.8362633
16,0.73558366,1.3563426,0.77181566,0.52079445,1.3557255,0.8657154
17,0.73033965,1.351335,0.76615226,0.54652953,1.4287587,0.77001524
18,0.7289122,1.346788,0.7508638,0.6281969,1.3851736,0.8372146
