epoch,loss,lr,val_loss
0,0.20051507651805878,0.0005,0.13736982643604279
1,0.11579328030347824,0.0005,0.10550157725811005
2,0.09389982372522354,0.0005,0.044590018689632416
3,0.08074548840522766,0.0005,0.048297300934791565
4,0.06914543360471725,0.0005,0.0536779910326004
5,0.06488317251205444,0.0005,0.053719229996204376
6,0.06299714744091034,0.0005,0.047776829451322556
7,0.05437507852911949,0.0005,0.11163586378097534
8,0.05547358840703964,0.0005,0.051427848637104034
9,0.05686327442526817,0.0005,0.04291047155857086
10,0.04695313051342964,0.0005,0.05180085077881813
11,0.04834657162427902,0.0005,0.03875390812754631
12,0.048749394714832306,0.0005,0.04594990238547325
13,0.04439155384898186,0.0005,0.05179021507501602
14,0.04369761049747467,0.0005,0.038415275514125824
15,0.04443279653787613,0.0005,0.04101675748825073
