epoch,loss,lr,val_loss
0,2.648569107055664,0.0005,1.1470329761505127
1,1.0310616493225098,0.0005,2.5306167602539062
2,0.8494415879249573,0.0005,2.4470932483673096
3,0.6961241960525513,0.0005,2.7086098194122314
4,0.5720793604850769,0.0005,3.133432626724243
5,0.5027049779891968,0.0005,3.034294843673706
6,0.45144009590148926,0.0005,2.1397886276245117
7,0.4112674295902252,0.0005,0.6381427049636841
8,0.3748852014541626,0.0005,3.5765042304992676
9,0.3515053987503052,0.0005,0.7567219734191895
