epoch,loss,lr,val_loss
0,0.18417182564735413,0.0005,0.12890246510505676
1,0.0961688682436943,0.0005,2.1064677238464355
2,0.0805322602391243,0.0005,0.11143121868371964
3,0.06697376072406769,0.0005,0.134585440158844
4,0.059132516384124756,0.0005,0.10129131376743317
5,0.05085105448961258,0.0005,0.06174205243587494
6,0.05297697335481644,0.0005,0.08004562556743622
7,0.042466893792152405,0.0005,0.06483352184295654
8,0.04172365367412567,0.0005,0.05569250136613846
9,0.038275618106126785,0.0005,0.05397358164191246
10,0.032787300646305084,0.0005,0.06696037948131561
11,0.039417266845703125,0.0005,0.1087484285235405
12,0.034963298588991165,0.0005,0.038196198642253876
13,0.027828440070152283,0.0005,0.04500259459018707
14,0.03012988157570362,0.0005,0.06028470769524574
15,0.0293333288282156,0.0005,0.04783107712864876
16,0.025232698768377304,0.0005,0.04321134462952614
17,0.023514272645115852,0.0005,0.058704979717731476
18,0.023709330707788467,0.0005,0.09888869524002075
19,0.03197783604264259,0.0005,0.11189084500074387
20,0.03077317401766777,0.0005,0.04000919684767723
21,0.019387615844607353,1e-04,0.03626115992665291
22,0.018423685804009438,1e-04,0.03759462386369705
23,0.01759067364037037,1e-04,0.03477063775062561
24,0.016994372010231018,1e-04,0.03654574230313301
25,0.01648101396858692,1e-04,0.03339443355798721
26,0.016007058322429657,1e-04,0.03560961037874222
27,0.015556782484054565,1e-04,0.03376736491918564
28,0.01523320097476244,1e-04,0.03669142723083496
29,0.014927022159099579,1e-04,0.03375507518649101
30,0.014578700996935368,1e-04,0.03225530683994293
31,0.01439401600509882,1e-04,0.033128511160612106
32,0.014050816185772419,1e-04,0.03776879981160164
33,0.01392448041588068,1e-04,0.034742411226034164
34,0.013693816028535366,1e-04,0.033616431057453156
35,0.013507706113159657,1e-04,0.034928470849990845
36,0.01333725918084383,1e-04,0.032465677708387375
37,0.013089923188090324,1e-04,0.032642435282468796
38,0.013039975427091122,1e-04,0.03730836510658264
