epoch,train_gen_loss,train_disc_loss,train_gen_acc,val_gen_loss,val_disc_loss,val_gen_acc
20,"tf.Tensor(1.3103818, shape=(), dtype=float32)","tf.Tensor(1.2439864, shape=(), dtype=float32)","tf.Tensor(0.44016737, shape=(), dtype=float32)","tf.Tensor(2.5150878, shape=(), dtype=float32)","tf.Tensor(1.6997379, shape=(), dtype=float32)","tf.Tensor(0.27625, shape=(), dtype=float32)"
21,"tf.Tensor(1.2922596, shape=(), dtype=float32)","tf.Tensor(1.2551843, shape=(), dtype=float32)","tf.Tensor(0.46541667, shape=(), dtype=float32)","tf.Tensor(1.470469, shape=(), dtype=float32)","tf.Tensor(1.3585864, shape=(), dtype=float32)","tf.Tensor(0.375, shape=(), dtype=float32)"
22,"tf.Tensor(1.2758892, shape=(), dtype=float32)","tf.Tensor(1.2200261, shape=(), dtype=float32)","tf.Tensor(0.45625, shape=(), dtype=float32)","tf.Tensor(2.0449882, shape=(), dtype=float32)","tf.Tensor(1.5581214, shape=(), dtype=float32)","tf.Tensor(0.33375, shape=(), dtype=float32)"
23,"tf.Tensor(1.2646691, shape=(), dtype=float32)","tf.Tensor(1.2190017, shape=(), dtype=float32)","tf.Tensor(0.40375, shape=(), dtype=float32)","tf.Tensor(1.4274739, shape=(), dtype=float32)","tf.Tensor(1.3424988, shape=(), dtype=float32)","tf.Tensor(0.40958333, shape=(), dtype=float32)"
24,"tf.Tensor(1.2685288, shape=(), dtype=float32)","tf.Tensor(1.2145435, shape=(), dtype=float32)","tf.Tensor(0.40209204, shape=(), dtype=float32)","tf.Tensor(4.4536405, shape=(), dtype=float32)","tf.Tensor(1.2678336, shape=(), dtype=float32)","tf.Tensor(0.42791668, shape=(), dtype=float32)"
25,"tf.Tensor(1.2644086, shape=(), dtype=float32)","tf.Tensor(1.2157058, shape=(), dtype=float32)","tf.Tensor(0.39875, shape=(), dtype=float32)","tf.Tensor(1.196579, shape=(), dtype=float32)","tf.Tensor(1.2188268, shape=(), dtype=float32)","tf.Tensor(0.42833334, shape=(), dtype=float32)"
26,"tf.Tensor(1.2466524, shape=(), dtype=float32)","tf.Tensor(1.2196879, shape=(), dtype=float32)","tf.Tensor(0.37416667, shape=(), dtype=float32)","tf.Tensor(4.858471, shape=(), dtype=float32)","tf.Tensor(1.0700009, shape=(), dtype=float32)","tf.Tensor(0.46416667, shape=(), dtype=float32)"
27,"tf.Tensor(1.2259003, shape=(), dtype=float32)","tf.Tensor(1.2189904, shape=(), dtype=float32)","tf.Tensor(0.39666668, shape=(), dtype=float32)","tf.Tensor(5.8217854, shape=(), dtype=float32)","tf.Tensor(2.2123122, shape=(), dtype=float32)","tf.Tensor(0.26416665, shape=(), dtype=float32)"
28,"tf.Tensor(1.221993, shape=(), dtype=float32)","tf.Tensor(1.2292045, shape=(), dtype=float32)","tf.Tensor(0.38125, shape=(), dtype=float32)","tf.Tensor(3.4781244, shape=(), dtype=float32)","tf.Tensor(1.5094043, shape=(), dtype=float32)","tf.Tensor(0.34625, shape=(), dtype=float32)"
29,"tf.Tensor(1.1923451, shape=(), dtype=float32)","tf.Tensor(1.2314986, shape=(), dtype=float32)","tf.Tensor(0.4075, shape=(), dtype=float32)","tf.Tensor(10.56683, shape=(), dtype=float32)","tf.Tensor(1.1437824, shape=(), dtype=float32)","tf.Tensor(0.39416668, shape=(), dtype=float32)"
30,"tf.Tensor(1.181261, shape=(), dtype=float32)","tf.Tensor(1.2320317, shape=(), dtype=float32)","tf.Tensor(0.38912135, shape=(), dtype=float32)","tf.Tensor(2.9302523, shape=(), dtype=float32)","tf.Tensor(1.1859328, shape=(), dtype=float32)","tf.Tensor(0.60041666, shape=(), dtype=float32)"
31,"tf.Tensor(1.1590428, shape=(), dtype=float32)","tf.Tensor(1.2557821, shape=(), dtype=float32)","tf.Tensor(0.415, shape=(), dtype=float32)","tf.Tensor(2.2377524, shape=(), dtype=float32)","tf.Tensor(1.3713678, shape=(), dtype=float32)","tf.Tensor(0.40625, shape=(), dtype=float32)"
32,"tf.Tensor(1.1428046, shape=(), dtype=float32)","tf.Tensor(1.2242303, shape=(), dtype=float32)","tf.Tensor(0.41625, shape=(), dtype=float32)","tf.Tensor(1.0674545, shape=(), dtype=float32)","tf.Tensor(1.2927763, shape=(), dtype=float32)","tf.Tensor(0.37083334, shape=(), dtype=float32)"
33,"tf.Tensor(1.1284862, shape=(), dtype=float32)","tf.Tensor(1.2246408, shape=(), dtype=float32)","tf.Tensor(0.42333335, shape=(), dtype=float32)","tf.Tensor(1.3889897, shape=(), dtype=float32)","tf.Tensor(1.325224, shape=(), dtype=float32)","tf.Tensor(0.31583333, shape=(), dtype=float32)"
34,"tf.Tensor(1.1324589, shape=(), dtype=float32)","tf.Tensor(1.20753, shape=(), dtype=float32)","tf.Tensor(0.43208334, shape=(), dtype=float32)","tf.Tensor(1.1527597, shape=(), dtype=float32)","tf.Tensor(1.2815957, shape=(), dtype=float32)","tf.Tensor(0.31083333, shape=(), dtype=float32)"
35,"tf.Tensor(1.117617, shape=(), dtype=float32)","tf.Tensor(1.2214811, shape=(), dtype=float32)","tf.Tensor(0.43375, shape=(), dtype=float32)","tf.Tensor(1.4091686, shape=(), dtype=float32)","tf.Tensor(1.3303955, shape=(), dtype=float32)","tf.Tensor(0.41583332, shape=(), dtype=float32)"
