epoch,train_gen_loss,train_disc_loss,train_gen_acc,val_gen_loss,val_disc_loss,val_gen_acc
1,0.98191047,0.69615734,0.5456299,0.53603673,2.2597277,0.6561218
2,0.9627011,0.61561304,0.53870994,0.64419687,3.394521,0.7696955
3,0.9705243,0.5333922,0.52958465,0.68529993,4.828847,0.8186859
4,0.9884775,0.46853992,0.52331823,0.7423959,6.1482635,0.8404968
5,1.0082352,0.42335218,0.52038246,0.7486532,6.9088016,0.85210896
6,1.0209391,0.38981816,0.5184306,0.76789737,7.731891,0.86093485
7,1.0353215,0.3655248,0.51817167,0.80602103,8.134648,0.86889654
8,1.0486461,0.34043863,0.5163943,0.82350546,8.745517,0.873762
9,1.0570798,0.31822515,0.514991,0.84125006,9.169528,0.8785292
10,1.0665836,0.3020123,0.51432437,0.8598824,9.5941,0.88234293
11,1.077505,0.28633526,0.51381993,0.8935093,9.958459,0.8854633
12,1.1049811,0.27543056,0.5133568,0.9489538,9.793487,0.88806355
13,1.1107641,0.26164687,0.51271564,0.9794016,10.157782,0.89667404
14,1.1193173,0.2496853,0.51206654,1.0043414,10.681804,0.9039011
15,1.129198,0.23669863,0.5113215,1.0477687,11.083225,0.9075299
16,1.1368678,0.22493458,0.5106991,1.0734454,11.498922,0.9133093
